"id","chapter","EZ_charter","HD_charter","IN_charter","AT_charter","EZ_notes","HD_notes","IN_notes","AT_notes"
"Letempsperdu.Daison","Single","Salt","Salt","Likey -For an old friend-","","262","588","698",""
"FixationsTowardtheStars.Foodbot","Single","Salt","OPENING/Level R","Salt","","193","491","835",""
"valorstarcross.LundyvsWyvren","Single","vacant/stupiggy","vacant/stupiggy","vesper/straycat","","479","835","1083",""
"CometFeat符白牙.CNHKSS","Single","StaR-1","無彩色","Likey & Barbarianerman","","138","752","874",""
"白と黒のバケモノ.テヅカ","Single","白","monochrome ILLUSION","Simon_Axis","","231","914","1197",""
"Devotion.Connexio","Single","StupiGGy","StupiGGy","Salt","","317","657","793",""
"KirakiraNoelStory.RekuMochizuki","Single","村头村头 CTY Story!!","头鱼头鱼 MAX Story!!","N\erry Xmas 2024","","268","626","935",""
"Shelter.MeatyRabbitNceS","Single","Cluttler with ShelteR","Cluttler with ShelteR","人外侵略地球计划","","265","388","696",""
"蝎虎天体Lacertid.CreamvsDaily天利","Single","StR-1","StR-1","Ctymax vs. IUIsauce -村头烤鱼蘸凹酱-","","273","596","1238",""
"贝多芬祝福BeethovenBlessing.Nauts","Single","StupiGGy","Blessing beyond myself.","Salt feat. XMT小咩兔","","301","445","913",""
"インマイマインド.レシオP","Single","Salt","Salt","ネルサン (I make charts slowly)","","89","479","562",""
"ニライカナイNiraicA_naiMix.roopfromSTR","Single","Barbarianerman","Ctymax respect for STAR TRACK in 2008","Ctymax respect for STAR TRACK in 2008","","207","354","650",""
"SwingSkipDrop.ミハイル","Single","Helabot","Helabot","Swing Salt ♪","","219","327","977",""
"宇宙残骸少女CosmicDustyGirl.辻原一郎","Single","不喜欢键的COC","不喜欢线的COC","～漂泊者～凹酱","","70","322","691",""
"Resolver.Gomadare","EGTS","Salt","Salt","Clutter vs. Salt","","128","339","993",""
"LuminousEntitiesLostHeart.NormalMfeatUsagiDenki","EGTS","1uminous StaR","1uminous StaR","光る星","","275","461","929",""
"KIZUNAResolution.TAG","EGTS","Likey underground","HD R.esolution","Sempiternal Fxxxxxx Resolution!","","262","722","1039",""
"AbsoluTedisoRdeR.AcuteDisarray","EGTS","Su1fuR","騎士 vs. Knight ","Executor-X","Apocalyptic Dissonance","766","1046","1600","2025"
"AphroditesChildshortver.RUQOA","Immaculée Sekai","StupiGGy","StupiGGy","StrayCat","","251","516","674",""
"DevIAtiOnshortver.polysha","Immaculée Sekai","COC","COC","Nr3_Official","","222","827","1117",""
"NOx.Juggernaut","Immaculée Sekai","Su1fuR","IUIsauce","StR-1","","198","700","1150",""
"Aliceinaxxxxxxxx.Nagiha","Single","XMT小咩兔","XMT小咩兔","□MT in a XXXXXXXX","","239","433","922",""
"Radiance.Nhato","オンゲキ","Su1fuR","Rikko EXPERT Lv.40","XMT小咩兔","Яadiance","218","639","667","926"
"DiamondDust.MasahiroGodspeedAoki","オンゲキ","Salt","Salt","Gausbon","StupiGGy","266","646","986","1518"
"StardustRAY.kanonevsBlackY","オンゲキ","Simon_Axis vs. Su1fuR","Su1fuR vs. Simon_Axis","曦枢 vs. 鎏光 -Lv.70 LEAF-","完璧 vs. 癒株 -Autumn Memory-","399","844","1392","1570"
"FrozenHeart.A39沙包P","Single","SantR","SantR","Likey & Gausbon","","353","708","939",""
"Helios.NOABotaNya","Single","jeitie goes outside","jeitie touches grass","jeitie gets sent to the sun","","188","391","786",""
"FlutterEcho.Cansol","KALPA","Rikko","|R|I|K|K|O| NORMAL","Clutter Echo","","222","555","1046",""
"Rebirth.ああああ","KALPA","啊哒咔哟 & 小咩兔 & COC","啊哒咔哟 & 小咩兔 & COC","Gausbon & StupiGGy","","320","733","939",""
"AvataarReincarnationofKalpa.ScarletteakaCrYmson","KALPA","Su1fuR","Su1fuR","Salt","XMT & Salt","122","887","979","1074"
"雪降り雪が降っている.AiSSw夜輪ft結月ゆかり","Single","Su1fuR","Su1fuR","XMT after BarbarNerSAN","小咩兔的多指课堂 vs. 上课睡大觉","111","364","429","531"
"RetributionCycleofRedemption.ArdolfvsDaily天利","Single","StR-1 & 右果_Ary","StR-1 & 右果_Ary","Simon_Axis vs. Likey [Respect Ner as ""SP∆DE""]","","393","789","1502",""
"アンビバレンス.すりぃ相沢","maimai","XMT小咩兔","XMT小咩兔","弧光 With Opposition","","299","579","1128",""
"Komplexe.雄之助featSennzai","maimai","Helabot","右果_Ary","Likey","","238","485","1051",""
"slips.rintarosoma","maimai","Helabot","Salt","St2.1GHz -Før The Pigeons-","ø","363","935","1128","1175"
"QZKagoRequiem.tpazolite","maimai","-","Rikko EXPERT Life:999","Gausbon","Salt feat. M3ow","296","1007","1259","1723"
"SolaggyfeatUzumaki.ShrimpCatsはぁち後藤涼輔","Single","Salt","Salt","Salt","","218","445","825",""
"000AinSophAur.Yumeji","Single","Magazet","Magazet","啊0哒0咔0哟 & Dilated","","171","371","689",""
"Xepion.Acotto","Liminality","Su1fuR","professional Rikko","Su1fuRikko","","123","368","698",""
"Archidoxen.Se_IRA","Liminality","Rft.","Rft.","Rft.","","262","543","938",""
"百鬼夜行.SaladSavior","Liminality","Magazet","Magazet","～Algax vs. RipHall～","","253","625","956",""
"BANGINGSTRIKE.DewPleiades","Single","adky","adky","Salt & Uvernight","魔王、大咩兔の兄 『大咩免』!!","371","644","1248","1677"
"TheWholeRest.KIVΛ","CYTUS II","Salt","¯EASY","Uvernight from CYTUS II","","217","484","785",""
"Cristalisia.onoken","CYTUS II","Skuwo","Skuwo","Salt","","241","577","721",""
"Hydra.JamesLandinoXAkiraComplex","CYTUS II","COC","COC","Su1fuR","[该用户已被禁言]","283","723","1085","1547"
"最高傑作.PYKAMIA","Single","StR-1","StR-1","_鉄咩兔","","203","346","697",""
"Locomotive.K","Single","Minibus","Motorcoach","Monorail","","196","403","666",""
"Alb.Avans","CYTUS II","Likey","Ary","Ary","","242","687","898",""
"Incyde.YbeLL","CYTUS II","【梦之起始】爬爬 vs. 盐","E00200","Magazet wanders within StR-1","","521","1141","1648",""
"彩.MisoilePunch","CYTUS II","爬爬","凛","OPCII_0584_X","","378","817","1439",""
"彼方へ名もなき海辺より.打打だいず&月乃","Single","打打だいずファンクラブ会長 -- Likey！！！","打打だいずファンクラブ会長 -- Likey！！！","打打だいずファンクラブ会長 -- Likey！！！","","217","409","841",""
"ABYSSMOTION192333.ariiolTSAR奏Sou","Single","ABYSS 543.320","ABYSS 543.320","MOTION 464.237","","320","543","815",""
"Xenophobia.XinG","Single","Skuwo","Skuwo","Skuwo","","366","873","1562",""
"Verruckt.Raimukun","Single","Magazet","Magazet","Salt","","273","621","1285",""
"AfterZABANIYAMUGEdit.Daily天利","Single","After CHARTER","After CHARTER","After CHARTERS","","364","723","1130",""
"下一秒.BobHouSherlock卓智媛feat兰音Reine","Single","Magazet","Magazet","Salt","","155","242","500",""
"玩具狂奏曲終焉.きくお","CHUNITHM","//TAP to StaRt//","Su1fuR: The Hanged Doll","Self -the pAtchwork-","XMT, the Abandoned Puppet","489","513","1418","1374"
"SnowDance.悠叶いのり","Single","Akko","爬爬","The Waltz of Snow","","170","341","558",""
"亂舞.NekockLK","Single","Magazet","Magazet","StR☆1","","119","327","548",""
"Cleyera.Riya","Single","--The Last of Barbarianerman--","Su2023fuR","Salt","","338","822","777",""
"70MinutesFighters.かたぎり","Single","ADKY","ADKY","XMT小咩兔 >w<","","365","725","1557",""
"GungnirFracture.Kryexe","Single","Salt","Akko","「Barbarianerman AKA. Alloces」Revive","","364","506","1185",""
"夢の降る日に.seatrus","Single","初の赤る澪に","初の赤る澪に","浪の降る日に","","128","455","1243",""
"DerSchneid.Ωμεγα","Single","Der Mut und der Richter","Der Mut und der Richter","Der Mut und der Richter","Gegenmacht der Lords","457","710","1426","1555"
"星拂云锦featkoi.S9ryne","Single","华星秋月","帷畔托星","灵琶弄月","","227","600","1235",""
"Poseidon.1112vsStar","Side story 1","Jαckψ a.k.a JKy","Jαckψ","Jαckψ feat. Βαρβαροςαντρας","上班摸大鱼 a.k.a. 海洋咩兔","533","397","450","1228"
"WATER.A39沙包P","Side story 1","急流に巻き込まれ","対流に巻き込まれ","乱流に巻き込まれ","","338","703","643",""
"MiracleForestVIPMix.Rinthlive","Side story 1","奇跡の希","奇跡の希","奇跡の希 feat. 奇跡の従","","323","586","839",""
"MOBILYS.Dachs","Side story 1","百九十八","百九十八","StupiGGy vs. 百九十八 ft. 野从","","311","530","938",""
"Lyrith迷宮リリス.ユメミド","Side story 1","Arenn Saki as ""mAze""","Arenn Saki as ""myStery""","XMT as ""eX-MentalisT""","CN_115 as ""prediCameNt""","248","700","1267","1236"
"Demiurge.Rabpit","Side story 2","""Manufacturer"" ~ Rikko","""Creator"" ~ StupiGGy","""Demiurge"" ~ Dawn","","100","445","520",""
"Demonkin.ForgedReigns","Side story 2","Alloces","Alloces","Sillyp & Alloces","","426","513","829",""
"Re_NascencePsystyleVer.Rinth_live","Side story 2","NerSAN","NerSAN","NerSAN & 百九十八","","378","806","827",""
"Ark.kanoryo","Side story 2","TimiTini","TimiTini","阿爽 eat Ctymax","StupiGGy","290","523","726","1091"
"AfterDawn.S9ryne","Side story 2","Barbarianerman","NerSAN feat. Pcat","BarbariaNerSAN feat. Snorkel","","194","478","975",""
"INFiNiTEENERZYOverdoze.RekuMochizuki","Side story 2","while(TangScend<=TangScend);","while(TangScend>=TangScend);","while(TangScend==TangScend);","while(TangScend=TangScend);","333","666","888","888"
"Khalid.Dolphin","Side story 3","Barbarialid","Barbarialid","Ner＜Jazz for your soul .)","","190","356","631",""
"QuantumHyperspace.D_AAN","Side story 3","Bariantum Hyperianerman","Bariantum Hyperianerman","IMD_0b0110","","443","790","888",""
"FreakyUndulationsNobleKnightsofTune.JehezukielKURORAK","Side story 3","Ner ~Freaky Cat of Charting~","ARE YOU JEITIE!!!","<= Noblesse Jeitie =>","","292","621","1020",""
"PANICPARADISE.DJSHIONY","Side story 3","Barianic Baradise","Barianic Baradise","Su1fuR -FAISEURS DE PANIQUE-","StR-1","367","533","881","1111"
"ReEndofaDream.umavsモリモリあつし","Side story 3","Barbarianerman, Overture before the story","Barbarianerman, Main theme within the somnium","Latency, Finale of the dream","XMT, Encore after the end","421","856","1186","1377"
"心の記憶.A39沙包P","Side story 4","Su1fuR","Su1fuR","N-23","","311","629","804",""
"Spotlight.Ardolf","Side story 4","Debut under spotlights!< Simon_Axis","Simon_Axis >< Likey","Likey >IT'S SHOWTIME!","","288","430","777",""
"NightTheater.わかどり","Side story 4","StR-1 watches Ctyfilm","StR-1 watches Ctyfilm","LuminousGausbon","","256","616","811",""
"Ramification.rareguyReina","Side story 4","inert COC","totally ramified COC","Simon_Axis•騎士•StR-1","","222","515","732",""
"DerRichter.Ωμεγα","Side story 4","Min(C,t,y)","Max(C,t,y)","Absolute(6)","Concat(Ramification,Richter)","310","615","1149","1306"
"ATHAZA.LeaF","Side story 4","LDAJOY&PLEASANT ^V^ LDA","ANGER&SORROW >^< LDA","Affection&memories \\// Salt & Simon_Axis","FORGET :: CLUTTER","479","662","1137","1344"
